16
1;1;4000856222223321;P;4320.80
2;2;5210685236987652;M;1000320
3;3;5369541266859833;M;602300.42
4;4;4302006511568494;P;153.60
5;5;4652147899635565;P;20
6;6;5369874152586996;P;653
7;7;5330448652005687;P;123
9;9;4556238984652109;M;92665.45
10;10;4032000655432610;M;49800
11;11;5066503158999511;P;;5563
12;12;4560035846089512;M;965
13;13;4560332111544564;M;563
15;8;4350665849777515;P;64322
16;16;5066301448975216;M;42663
17;17;4663521598775417;P;2
18;18;5006223449898718;P;43.66
19;20;4066350159907819;P;985
21;21;4006359198887421;M;132.50
